Symbol,Name,MarketCap,LastSale,NetChange,PercentageChange
PDD,Pinduoduo Inc.,"88,696,654,680",$70.15,$0.40,-0.57%
PEP,"Pepsico, Inc.","249,820,010,868",$181.33,$1.30,0.0072
PYPL,"PayPal Holdings, Inc.","96,811,155,001",$84.92,$0.72,-0.84%
QCOM,QUALCOMM Incorporated,"138,835,850,000",$123.85,$0.99,0.0081
REGN,"Regeneron Pharmaceuticals, Inc.","80,231,322,573",$736.73,$2.35,-0.32%
ROST,"Ross Stores, Inc.","37,340,486,975",$107.59,$9.66,0.0986
SBUX,Starbucks Corporation,"112,436,805,000",$97.95,$0.98,0.0101
SGEN,Seagen Inc.,"24,463,207,356",$131.76,$0.23,0.0017
SIRI,Sirius XM Holdings Inc.,"24,854,142,523",$6.39,$0.03,0.0047
SNPS,"Synopsys, Inc.","49,832,277,896",$325.89,$1.62,0.005
SPLK,Splunk Inc.,"12,576,710,000",$77.30,$0.95,-1.21%
SWKS,"Skyworks Solutions, Inc.","15,134,832,788",$94.33,$0.58,0.0062
TEAM,Atlassian Corporation,"30,345,553,775",$118.76,$2.93,-2.41%
TMUS,"T-Mobile US, Inc.","185,167,459,763",$148.83,$1.06,0.0072
TSLA,"Tesla, Inc.","568,995,413,785",$180.19,$2.98,-1.63%
TXN,Texas Instruments Incorporated,"158,988,412,508",$175.18,$0.18,-0.10%
VRSK,"Verisk Analytics, Inc.","27,139,564,843",$173.54,$3.31,0.0194
VRSN,"VeriSign, Inc.","20,593,696,578",$194.25,$1.30,-0.66%
VRTX,Vertex Pharmaceuticals Incorporated,"80,762,831,543",$314.63,$4.73,0.0153
WBA,"Walgreens Boots Alliance, Inc.","34,376,320,367",$39.75,$0.38,-0.95%
WDAY,"Workday, Inc.","37,565,440,000",$146.74,$2.07,-1.39%
XEL,Xcel Energy Inc.,"37,420,852,156",$68.38,$1.24,0.0185
ZM,"Zoom Video Communications, Inc.","24,299,749,148",$81.64,$0.95,-1.15%
ZS,"Zscaler, Inc.","19,845,671,660",$138.73,$1.98,0.0145
